name,employer
Alice Levine,Channel 5 (UK)
Alicia Loxley,Nine Network
Alistair MacLean,Stonelaw High School
Allan L. Drash,University of Pittsburgh
Allan Maclean,Kingdom of Great Britain
Allen Carl Guelzo,Gettysburg College
Allen Clarke,Holland Park School
Allen Hunt,The Allen Hunt Show
Allen S. Weiner,Stanford University
Allen Stuart Drury,Tulare Bee
Allen W. Seaby,University of Reading
Allison Randal,Canonical Ltd.
Allyson Robinson,OutServe-SLDN
Alonso Hernández del Portillo,Mayor of Gibraltar
Alvar Ellegård,University of Gothenburg
Alvin F. Waller,Methodist Mission
Alwyn MacArchill,Malcolm IV of Scotland
Amado Carrillo Fuentes,Ju%C3%A1rez Cartel
Ambassador Daniel Fried,United States Department of State
Amber Sherlock,Nine Network
Amelia Adams,Nine Network
Amir Abo-Shaeer,Santa Barbara Unified School District
Amir Blumenfeld,MTV
Amira Hass,Haaretz
Amira al Hayb,Israel Defense Forces
Amos Chapman,United States Army
Amos N. Guiora,University of Utah
Amos W. Marston,University of Wisconsin%E2%80%93Madison
Amy Harris,The Australian Ballet
Amy Holmes,Mercury Radio Arts
Ana Boulter,Sky News
Ana Kasparian,The Young Turks
Ana Marie Cox,The Guardian
Ananda Ranga Pillai,French East India Company
Anant Gupta,HCL Technologies
Anatol Ciobanu,Moldova State University
Anatole Boris Volkov,McMaster University
Anatoly Kornukov,Russian Air Force
Anders Hejlsberg,Microsoft
Anders Sandvig,Repton School
Andrea Agnelli,Fiat
Andrea Doucet,Carleton University
Andrea Elliott,The New York Times
Andrea Slobodian,CKY-DT
Andreea Esca,Pro TV
Andrei Nikolayevich Tupolev,Tupolev
Andrew Abercromby,Wyle Laboratories
Andrew B. Steinberg,Jones Day
Andrew Bacevich,Boston University
Andrew Bolt,News Limited
Andrew Cohen,Bravo (U.S. TV channel)
Andrew Hunt,University of Waterloo
Andrew James Viterbi,"University of California, San Diego"
Andrew Kayiira,Uganda
Andrew Keith Paul Morton,Google
Andrew Klaber,Paulson & Co.
Andrew Nelson Caudell,United States Department of Agriculture
Andrew O,Seven Network
Andrew Regan,Corvus Capital
Andrew Rochford,Network Ten
Andrew Scott,Lancaster University
Andrew Tridgell,IBM
Andrew W. Lewis,Missouri State University
Andrew W. Needham,Willkie Farr & Gallagher
Andrew W. Sledd,University of Florida
Andrew Wilson,Unification Theological Seminary
Andrew Wilson,TV-am
André H. Caron,University de Montr%C3%A9al
Andrés Indriðason,R%C3%9AV
Andy Anderson,National League
Andy Katz,ESPN
Andy Miah,University of the West of Scotland
Andy Olsen,National League
Andy Tudor,Slightly Mad Studios
Andy Tyrie,Belfast City Council
Andy Wilman,BBC
Angela Beesley Starling,Wikia
Angela Davis,"University of California, Santa Cruz"
Angela Finger-Erben,RTL Television
Angela Webber,Australian Broadcasting Corporation
Angelo M. DiGeorge,Temple University School of Medicine
Anil Kumar,McKinsey & Company
Anindya Sinha,National Institute of Advanced Studies
Anja Daems,Vlaamse Radio- en Televisieomroeporganisatie
Ann Althouse,University of Wisconsin%E2%80%93Madison
Ann Dexter Gordon,Rutgers University
Ann Gleeson,Today FM
Ann Martin,KCBS-TV
Anna Canzano,KATU
Anna Chandy,Kerala High Court
Anna Harvey,Cond%C3%A9 Nast Publications
Anna Maria Chávez,Girl Scouts of the USA
Anna Wallis Suh,Shanghai American School
Anne Craine,Isle of Man Government
Anne Kronenberg,San Francisco
Anne M. Mulcahy,Xerox
Anne Turner,"Frances Carr, Countess of Somerset"
Annette Gordon-Reed,Radcliffe Institute for Advanced Study
Annie Lowrey,The New York Times
Anshu Jain,Deutsche Bank
Ant McPartlin,ITV (TV network)
Anthony Cerami,Warren Pharmaceuticals
Anthony D. Smith,London School of Economics
Anthony R. Parnther,Southeast Symphony
Anthony Shadid,The New York Times
Anthony Tesoro,Tesoro Ministry Foundation
Anthony Tony Wilson,ITV Granada
Anthony Wood,University of Oxford
Anton Amann,Innsbruck Medical University
Anton Kaufman,Newark Jewish Chronicle
Anton Rintelen,Charles University in Prague
Antony Jenkins,Barclays
Anwar Choudhury,Foreign and Commonwealth Office
Aoife Kavanagh,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Arash Markazi,ESPN
Arcadie Gherasim,Vocea Basarabiei
Archie Bland,The Independent
Archie W. Dunham,ConocoPhillips
Archie William League,Federal Aviation Administration
Arina Tanemura,Shueisha
Arlene White Lawrence,Pillar of Fire International
Armand de Ricqlès,Coll%C3%A8ge de France
Armando Montaño,Associated Press
Arna Selznick,Nelvana
Arnaldo Carvalho de Melo,Red Hat
Arnold Christopher Ræstad,Ministry of Foreign Affairs (Norway)
Arnold Hiatt,Stride Rite Corporation
Art Passarella,American League
Art Williams,National League
Artem Ivanovich Mikoyan,Mikoyan
Artem Ovcharenko,Bolshoi Theatre
Arthur A. Schuck,Boy Scouts of America
Arthur Bluey Bluethenthal,France
Arthur Charles Miller,20th Century Fox
Arthur Fonjallaz,Military of Switzerland
Arthur Hawley Scribner,Charles Scribner's Sons
Arthur Oliver Wheeler,Dominion
Arthur Quinlan,The Irish Times
Artie Gore,National League
As,"California State University, Stanislaus"
Asa Kasher,Tel Aviv University
Asha Blake,KTLA
Ashley Holcombe,United States women's national softball team
Assem Hammoud,Lebanese International University
Aswath Damodaran,New York University Stern School of Business
Atholl Douglas (Paddy) Whannel,Northwestern University
Augie Donatelli,National League
Augustine Heard,Russell & Company
Austin E. Quigley,Columbia University
Axel C. Heitmann,Lanxess
Axel Gustaf Torbjörn Enström,Svenska Cellulosa Aktiebolaget
Ayumi Komura,Shueisha
Azhagar Ramanujam,"Government Arts College, Ooty"
B.D Rampala,Sri Lanka Railways
Barbara Chernow,Stony Brook University
Barbara Jane Harrison,British Overseas Airways Corporation
Barbara Knowles Debs,New-York Historical Society
Barclay Harding Warburton I,Philadelphia Evening Telegraph
Barclay Harding Warburton II,American Relief Administration
Barclay Harding Warburton III,American Sail Training Association
Barney Hall,Motor Racing Network
Baroness Kennedy of The Shaws,"Mansfield College, Oxford"
Barry Leiba,Huawei
Barry O,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Barry Simon,California Institute of Technology
Barry Smyth,South Regional College
Bart D. Ehrman,University of North Carolina at Chapel Hill
Bartha Maria Knoppers,Universit%C3%A9 de Montr%C3%A9al
Barthélemy Faujas de Saint-Fond,Jardin des Plantes
Bas Kast,Der Tagesspiegel
Basanti Dulal Nagchaudhuri,University of Calcutta
Baz Ashmawy,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Beano Cook,ESPN
Beatrice Shilling,Royal Aircraft Establishment
Becky,EMI Music Japan
Becky Allison,Cigna
Beena Sarwar,Aman ki Asha
Belinda Heggen,5AA
Belle Adler,Northeastern University
Ben Abell,Saint Louis University
Ben Buckley,"Nike, Inc."
Ben Burrell,Orion Media
Ben Forta,Adobe Systems
Ben H. Love,Boy Scouts of America
Ben Robertson,United Press International
Ben Scott,New America Foundation
Ben Stephenson,BBC
Ben Verwaayen,Lucent
Ben Yahtzee Croshaw,The Escapist (magazine)
Benedikt Magnússon,Super Gym
Bengt Danielsson,"Museum of Ethnography, Sweden"
Benjamin Benjie Bitanga,MRC Allied Inc.
Benjamin Benny Snyder,Joseph Rosenzweig
Benjamin Buttenwieser,"Kuhn, Loeb & Co."
Benjamin Ginsberg,Johns Hopkins University
Benjamin Kuipers,University of Michigan
Benjamin Mako Hill,MIT Sloan School of Management
Benjamin Nolot,International House of Prayer
Benjamin Samuel Bloom,American Educational Research Association
Benjamin Schumacher,Kenyon College
Benny Higgins,Chief executive officer
Benu Sen,Indian Museum
Bernard Bailyn,Harvard University
Bernard Botein,New York Court of Appeals
Bernard Dudot,GP3 Series
Bernard Youens,ITV (TV network)
Bernardo Hernández González,Google
Bernd Brinkmann,University of M%C3%BCnster
Bernhard H. Rosenberg,Yeshiva University
Bernie May,Isle of Man Government
Bert Andrews,New York Herald Tribune
Berthold Schenk Graf von Stauffenberg,German Army (1935%E2%80%931945)
Bertis Downs,University of Georgia
Betsie ten Boom,Casper ten Boom
Bettie M Steinberg,The Feinstein Institute for Medical Research
Betty Diamond,The Feinstein Institute for Medical Research
Betty Holberton,Remington Rand
Betty Williams,Nova Southeastern University
Bevan Morris,Maharishi University of Management
Beverly Daniel Tatum,Spelman College
Bick Campbell,National League
Bill Andress,National League
Bill Brennan,National League
Bill Cunningham,The New York Times
Bill Damaschke,DreamWorks Animation
Bill Engeln,National League
Bill Grieve,American League
Bill Jackowski,National League
Bill Kincaid,Apple Inc.
Bill Kurtis,WBBM-TV
Bill Leger,KFDM
Bill Malarkey,Isle of Man Government
Bill McKinley,American League
Bill McLaren,BBC Sport
Bill Nichols,San Francisco State University
Bill Pulver,Australian Rugby Union
Bill Sellars,BBC
Bill Shaw,Sparkman & Stephens
Bill Todd,NASA
Bill Valentine,American League
Bill Wilson,Americans for Limited Government
Billy Mays,Home Shopping Network
Billy Rhodes Porter,WTVF
Bird Millman,"Florenz Ziegfeld, Jr."
Bittu Sahgal,Sanctuary Asia
Blair W. Effron,Warburg Dillon Read
Bo Barrett,Chateau Montelena
Bo Peabody,Village Ventures
Bob Adams,David Miscavige
Bob Crampton,ITV (TV network)
Bob Diamond,Morgan Stanley
Bob Engel,National League
Bob Francis,5AA
Bob Harvie,Sri Lanka Broadcasting Corporation
Bob Marshall,United States Forest Service
Bob McKenzie,The Sports Network
Bob McKerrow,International Federation of Red Cross and Red Crescent Societies
Bob Pattillo,Gray Ghost Ventures
Bob Rafei,Naughty Dog
Bob Stewart,American League
Bob Warman,ITV (TV network)
Bobak Ferdowsi,Jet Propulsion Laboratory
Bobby Noble,York University
Bohumil Makovsky,Oklahoma State University%E2%80%93Stillwater
Bojan Aleksandrović,Romanian Orthodox Church
Boleslaw Szymanski,Rensselaer Polytechnic Institute
Bonnie Nardi,"University of California, Irvine"
Borzou Daragahi,Financial Times
Bow Kum,On Leong Chinese Merchants Association
Boyce Watkins,Syracuse University
Božidara Turzonovová,Slovak National Theatre
Brad Handler,Inspirato
Bradley Walsh,ITV (TV network)
Bram Weinstein,ESPN
Branford Clarke,Pillar of Fire International
Brenda Shanahan,Bill Cullen (businessman)
Brendan Burke,Miami University
Brendan O,University of Pennsylvania
Brendan O,Sunday Independent (Ireland)
Brendan Sullivan,Williams & Connolly
Brent Ashley Wilkes,League of United Latin American Citizens
Brent Hailpern,IBM Research
Brent Handler,Inspirato
Brian Behlendorf,World Economic Forum
Brian Chesky,Airbnb
Brian Daly,TV3 (Ireland)
Brian Darling,The Heritage Foundation
Brian E. Daley S.J.,University of Notre Dame
Brian Grazer,Imagine Entertainment
Brian Muir,Lucasfilm
Brian O,Independent Sector
Brian Paddick,Ashridge Business School
Brian Palmer,Uppsala University
Brian Sabean,San Francisco Giants
Brian Stelter,The New York Times
Brick Owens,National League
Broda Otto Barnes,University of Illinois College of Medicine
Brodie Brazil,KNTV
Bruce Bromley,"Cravath, Swaine & Moore"
Bruce Dehning,Chapman University
Bruce Edwards Ivins,United States Army Medical Research Institute of Infectious Diseases
Bruce Gilchrist,Syracuse University
Bruce Jackson,"University at Buffalo, The State University of New York"
Bruce Jakosky,University of Colorado at Boulder
Bruce Mansfield,3AW
Bruce McAvaney,Seven Network
Bruce Wasserstein,Lazard
Bruno Aleksander Salmiala,University of Helsinki
Bryan Colangelo,Toronto Raptors
Bryan Frederick Aylstock,"Aylstock, Witkin, Kreis & Overholtz"
Bryan Kirkwood,Lime Pictures
Bud Selig,Major League Baseball
Bull Perrine,American League
Burnie Burns,Rooster Teeth Productions
C. D. B. Bryan,New York
C. Richard Schlegel,Georgetown University
Caitlin Lowe,United States women's national softball team
Cal Drummond,American League
Caleb Garling,Wired (magazine)
Candis Angelene,Aaross Music
Cara Capuano,ESPN
Carine Roitfeld,Cond%C3%A9 Nast Publications
Carl Abraham Pihl,Norwegian State Railways
Carl Bernstein,Vanity Fair (magazine)
Carl Fallberg,Walt Disney Studios (Burbank)
Carl Kasell,NPR
Carl Lautenschläger,IG Farben
Carl Paladino,Ellicott Development Company
Carl W. Hoecker,U.S. Securities and Exchange Commission
Carla Robbins,U.S. News & World Report
Carleton W. Angell,University of Michigan
Carlos Eugenio Vides,El Salvador
Carlos Ibarguren,University of Buenos Aires
Carlos Salazar Lomelín,FEMSA
Carmel Napier,Gwent Police
Carmen Trotta,Catholic Worker
Carol Klein,BBC
Carol McGiffin,ITV (TV network)
Carol Queen,Good Vibrations (sex shop)
Carole Coleman,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Caroline Thomson,BBC
Carrie Gracie,BBC
Cathal Goan,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Catherine Sandoval,Santa Clara University School of Law
Cecil Kimber,MG Cars
Cemşir Muratoğlu,Belediye Vanspor
Chacha Cricket,Pakistan Cricket Board
Chad Holt,Whoopsy! Magazine
Chandra Embuldeniya,Uva Wellassa University
Chandra Fernando,Catholic Church
Chandra Levy,Federal Bureau of Prisons
Channy Yun,Daum Communications
Charee Pineda,ABS-CBN Corporation
Charles A. Reich,Yale Law School
Charles Alden Black,United States Navy
Charles Algernon Fryatt,Great Eastern Railway
Charles B. Winstead,Federal Bureau of Investigation
Charles Boycott,"John Crichton, 3rd Earl Erne"
Charles Brandes,Brandes Investment Partners
Charles Butt,H-E-B
Charles Chilton,BBC
Charles Christian Wertenbaker,Time (magazine)
Charles Derber,Boston College
Charles Duhigg,The New York Times
Charles E. Young,University of Florida
Charles Edward Courtney,Cornell University
Charles Edward Warburton,Philadelphia Evening Telegraph
Charles Eugene Denney Sr.,Northern Pacific Railway
Charles Ezra Greene,University of Michigan
Charles John Bowen Cooke,London and North Western Railway
Charles Johnston,American League
Charles Kennedy,National League
Charles LaDuca,"Cuneo Gilbert & LaDuca, LLP"
Charles McDonnell,New York City Police Department
Charles Mills Gayley,University of California
Charles Oldham,CGU plc
Charles Scribner I,Charles Scribner's Sons
Charles Scribner II,Charles Scribner's Sons
Charles Scribner III,Charles Scribner's Sons
Charles Scribner IV,Charles Scribner's Sons
Charles W. Nash,Nash Motors
Charley Feeney,Pittsburgh Post-Gazette
Charlie Dimmock,ITV (TV network)
Charlie Webster,Sky Sports
Charlotte Kohler,University of Virginia
Charlotte Maria Shaw Mason,Bishop Otter Teacher Training College
Chen Wen-Chi,VIA Technologies
Cheng Lei (程雷),Shanghai Media Group
Chengwu Guo,The Australian Ballet
Cher Calvin,KTLA
Cher Wang,VIA Technologies
Chinthamani Ragoonatha Chary,Madras Observatory
Chitose Yagami,Shogakukan
Chris Cason,Funimation
Chris Charlesworth,Music Sales Group
Chris Cillizza,The Washington Post
Chris Date,IBM
Chris Jenkins,DreamWorks Animation
Chris Mannix,Sports Illustrated
Chris Metzen,Blizzard Entertainment
Chris Mort,Freshfields Bruckhaus Deringer
Chris Reason,Seven Network
Chris Stark,BBC
Chris Toshok,Novell
Chris Uhlmann,Australian Broadcasting Corporation
Chris Williams,Walt Disney Animation Studios
Chris Wright,Red Hat
Chrisanthi Avgerou,London School of Economics
Christa Schroeder,Adolf Hitler
Christian Delporte,Versailles Saint-Quentin-en-Yvelines University
Christian Keysers,University of Groningen
Christian Parenti,SIT Graduate Institute
Christian Schneider,IG Farben
Christina Gonzalez,KTTV
Christina Koning,The Times
Christine A. Varney,Partner (business rank)
Christine B. Whelan,University of Pittsburgh
Christine Bleakley,ITV (TV network)
Christine Devine,KVOA
Christine E. Sleeter,"California State University, Monterey Bay"
Christine Lund,KABC-TV
Christine Walkden,BBC
Christophe Fabre,Axway
Christophe Moulin,TF1
Christopher Bevins,Funimation
Christopher Connor,Sherwin-Williams
Christopher Dale Pratt,Swire Group
Christopher E. Gerty,NASA
Christopher Erb,Electronic Arts
Christopher French,University of London
Christopher George Kennedy,Merchandise Mart Properties
Christopher Graham,Parliament of the United Kingdom
Christopher J. Mayer,Columbia Business School
Christopher John Ward,Daily Mirror
Christopher Kevin Boyle,University of Essex
Christopher Naylor,Restaurant Vermeer
Christopher Paul Hadley Brown,Ashmolean Museum
Christopher Ruddy,Newsmax Media
Christopher Uriarte,ReD
Chuck Pagano,ESPN
Cicely Mary Barker,Blackie and Son
Claes Elefalk,IMG Artists
Clare Balding,Channel 4
Clarence Dillon,"Dillon, Read & Co."
Clarence Edward Noble Macartney,Geneva College
Clarence John Shearn,New York Supreme Court
Clarence Leonard Kelly Johnson,Lockheed Martin
Clarice Tinsley,KDFW
Claude Nelson Warren,"University of Nevada, Las Vegas"
Claude Rajotte,MusiquePlus
Claude Sammut,University of New South Wales
Claude Selveratnam,Sri Lanka Broadcasting Corporation
Claus Luthe,NSU Motorenwerke
Claus von Stauffenberg,German Army (1935%E2%80%931945)
Clement Willis Bowman,Imperial Oil
Clive Holland,BBC
Cokie Roberts,NPR
Cole Harris,University of Toronto
Colette Fitzpatrick,TV3 (Ireland)
Colin Humphreys,University of Cambridge
Colin Needham,Amazon.com
Colin Vaughan,Toronto City Council
Colleen Williams,KNBC
Collis Potter Huntington,Southern Pacific Transportation Company
Colm Hayes,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Colm Murray,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Connor Wilkinson,Lime Pictures
Conway Berners-Lee,National Physical Laboratory (United Kingdom)
Cormac Battle,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Cornel Ciurea,Moldova State University
Cornelia Barns,Sunset (magazine)
Cornelius O,Queen's University Belfast
Cornelius Vanderbilt II,New York Central Railroad
Corrie Kear Ware Corfield,BBC
Corrinne Yu,343 Industries
Craig B. Fisher,Tisch School of the Arts
Craig McKinley,McMaster University
Crissy Rock,ITV (TV network)
Cristian Tudor Popescu,Adev%C4%83rul
Cristina Goettsch Mittermeier,International League of Conservation Photographers
Cristina H. Amon,University of Toronto
Crosby Stuart Noyes,The Washington Star
Cy Pfirman,National League
Cy Rigler,National League
Cynthia Tucker,Universal Press Syndicate
Cyril Féraud,France 3
Cyrus Fernandez,NU 107
César Alierta,Telef%C3%B3nica
D. Ronald Daniel,McKinsey & Company
D.J. Davies,United States Navy
Daisuke Nishio,Shueisha
Dale Russell,North Carolina State University
Dale Schott,Nelvana
Dame Lynne Brindley,British Library
Dame Margot Fonteyn de Arias DBE,The Royal Ballet
Damien McCaul,Q102
Dan Barry,American League
Dan Gheorghe Dungaciu,University of Bucharest
Dan Goldstein,Formula Vision Technologies
Dan Guerrero,"University of California, Los Angeles"
Dan Le Batard,WAXY (AM)
Dan Massey,SAIC (U.S. company)
Dan Morrison,Major League Baseball
Dan Penteado,BBC
Dana Loesch,Andrew Breitbart
Daniel Aaron,Harvard University
Daniel Berdichevsky,DemiDec
Daniel C. Carpenter,New York City Police Department
Daniel Ellsberg,RAND Corporation
Daniel Gaudiello,The Australian Ballet
Daniel Gravius,Dutch East India Company
Daniel Hesse,Sprint Nextel
Daniel Kinnear Clark,Great North of Scotland Railway
Daniel Oscar Underhill,Brooklyn Bank
Daniel Pearl,The Wall Street Journal
Daniel Reisner,"Herzog, Fox & Ne'eman"
Daniel Robbins,Zenoss
Daniel W. Barwick PhD,Independence Community College
Danny Danko,High Times
Darain Shahidi,TV18 (India)
Darcy A. Olsen,Goldwater Institute
Darla K. Anderson,Pixar
Darren Heitner,Indiana University Bloomington
Darren Whackhead Simpson,Primedia Broadcasting
Daryl Morey,Houston Rockets
Dave Bennett,NantWorks
Dave Brundage,Philadelphia Phillies
Dave Cameron,Fangraphs
Dave Dombrowski,Detroit Tigers
Dave Peacock,Anheuser-Busch
Dave Shannon Morse,Tonka
Dave Weigel,Slate (magazine)
David A. Brandon,University of Michigan
David A. Karp,Boston College
David A. Viniar,Goldman Sachs
David Anderson,Isle of Man Government
David B. Rivkin Jr.,BakerHostetler
David Boies,"Boies, Schiller & Flexner"
David Bonderman,TPG Capital
David Brog,Christians United for Israel
David Burrick,AOL
David C. Vladeck,Federal Trade Commission
David Callister,Manx Radio
David Caminer,J. Lyons and Co.
David Chater,Sky News
David Coleman,BBC
David Cretney,Isle of Man Government
David Croft,Sky Sports
David Dickinson,ITV (TV network)
David E. Rosenbaum,The New York Times
David E. Sanger,The New York Times
David E. Sweet,Rhode Island College
David Eidelberg,The Feinstein Institute for Medical Research
David Eric Schansberg,Indiana University Southeast
David Fanning,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
David Gregory-Kumar,BBC
David Gunness,Fulcrum Acoustic
David H. Adams,"Mount Sinai Hospital, New York"
David Harris Underhill,New York Public Library
David Heinemeier Hansson,37signals
David Hubert Boothby Chesshyre,Elizabeth II
David Huckabee,"Taylor, Bean & Whitaker"
David Hume Kennerly,White House
David Jeremiah,Shadow Mountain Community Church
David Jones,Bureau of Meteorology
David Kahn,Minnesota Timberwolves
David Koch,Seven Network
David Lane,AP Films
David Lauren,Ralph Lauren Corporation
David Leonhardt,The New York Times
David Lyon,General Motors
David Marchick,Carlyle Group
David N. Farr,Emerson Electric
David Nasaw,City University of New York
David Oshinsky,University of Texas at Austin
David Robb,Chrysler
David S. Guzick,University of Rochester
David Segal,The New York Times
David Speers,Sky News Australia
David Stephen Miller,Red Hat
David Stratton,Australian Broadcasting Corporation
David Thodey,Telstra
David Walter,ITN
David Whatton,Cheshire Constabulary
David Wheeler,American Repertory Theater
David Wilson,Birmingham City University
Davina Barbara,Gibraltar Broadcasting Corporation
Davina McCall,Sky
Dawne Hickton,RTI International Metals
Daymond John,FUBU
Dayn Perry,Fangraphs
Dean Hachamovitch,Microsoft
Dean Hall,Bohemia Interactive
Dean Spade,Seattle University School of Law
Deborah Axelrod,New York University
Deborah L. McGuinness,Rensselaer Polytechnic Institute
Deborah Orr,The Guardian
Declan Donnelly,ITV (TV network)
Declan Meehan,Today FM
Denis Jaromil Roio,Netherlands Media Art Institute
Denise Welch,ITV (TV network)
Dennis Cometti,Triple M Network
Dennis E. Fitch Sr.,United Airlines
Dennis Hale,Boston College
Dennis Richmond,KTVU
Derek Llambias,Newcastle United F.C.
Derek Meddings,AP Films
Derek Mooney,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Derek William Yalden,University of Manchester
Dermot O,Syco
Derrick Bell,New York University School of Law
Deshamanya Doctor JB Peiris,Cabinet of Sri Lanka
Deshamanya Dr Surendra Ramachandran,Cabinet of Sri Lanka
Desiree Horton,United States Forest Service
Diamond Jenness,National museums of Canada
Diane Geppi-Aikens,Loyola University Maryland
Diane Silvers Ravitch,"Steinhardt School of Culture, Education, and Human Development"
Diane Whipple,Saint Mary's College of California
Dianne Oxberry,BBC
Dick Costolo,Twitter
Dick Gould,Stanford University
Dick Stello,National League
Didier Demazière,French National Centre for Scientific Research
Dilan Jayawardane,Scoopler
Dilys Breese,BBC
Ding Shijia,ANTA Sports
Dionicio Loya Plancarte,Knights Templar Cartel
Dirk Boonstra,Grijpskerk
Dirk van Braeckel,Bentley
Dith Pran,The New York Times
Doctor Ajith Madurapperuma,University of Moratuwa
Doireann Ní Bhriain,Raidi%C3%B3 Teilif%C3%ADs %C3%89ireann
Dolly Stark,National League
Dominic Barton,McKinsey & Company
Don Asmussen,San Francisco Chronicle
Don Goodsir,Department of Education and Communities (New South Wales)
Don Graham,The Washington Post Company
Don Harris,NBC News
Don Hewitt,CBS News
Don Libes,National Institute of Standards and Technology
Donal Smith,Data Explorers
Donald A. Yerxa,Boston University
Donald Hiss,United States Department of State
Donald Niven Wheeler,Yale University
Donat Savoie,Aboriginal Affairs and Northern Development Canada
Dorothy Fuldheim,WEWS-TV
Doug Dye,New Zealand
Doug Leeds,Storeboard Media
Doug Oberhelman,Caterpillar Inc.
Douglas Anthony Chamberlain,Royal Sussex County Hospital
Douglas Crockford,PayPal
Douglas E. Schoen,Pundit
Douglas G. Stuart,University of Arizona
Douglas Gordon Baird,University of Chicago Law School
Douglas K. Stuart,Gordon%E2%80%93Conwell Theological Seminary
Douglas Porch,Naval Postgraduate School
Douglas R. Conant,Campbell Soup Company
Dr Aleksandra K Krotoski,The Guardian
Dr Margaret Mountford,Amstrad
Dr N.Ravichandran,Indian Institute of Management Indore
Dr. Abelardo Abe Saavedra,Houston Independent School District
Dr. Abraham Weiss,Yeshiva University
